what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1317409102784
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1317409102784
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1317409102784
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1317409102784
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1317409102784
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1317409102784
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1317409102784
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1317409102786
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1317409102786
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1317409102786
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1317409102786
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1317409102786
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1317409102786
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1317409102787
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1317409102787
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1317409102787
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1317409102787
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1317409102787
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1317409102792
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1317409102792
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1317409102792
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1317409102793
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1317409102793
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1317409102793
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1317409102794
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1317409102794
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1317409102794
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1317409102794
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1317409102794
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1317409102794
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1317409102794
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1317409102794
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1317409102794
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1317409102794
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1317409102795
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1317409102795
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1317409102795
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1317409102795
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1317409102795
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1317409102796
os,sysinfo,,,"macosx",1317409102801
arch,sysinfo,,,"x86_64",1317409102801
ws,sysinfo,,,"cocoa",1317409102801
locale,sysinfo,,,"en_US",1317409102801
processors,sysinfo,,,"2",1317409102801
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317409102801
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1317409102801
java.specification.name,sysinfo,,,"Java Platform API Specification",1317409102801
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317409102801
java.specification.version,sysinfo,,,"1.6",1317409102801
java.vendor,sysinfo,,,"Apple Inc.",1317409102801
java.version,sysinfo,,,"1.6.0_26",1317409102801
java.vm.info,sysinfo,,,"mixed mode",1317409102801
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1317409102801
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317409102801
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317409102801
java.vm.specification.version,sysinfo,,,"1.0",1317409102801
java.vm.vendor,sysinfo,,,"Apple Inc.",1317409102801
java.vm.version,sysinfo,,,"20.1-b02-383",1317409102801
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1317409102827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317409102925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317409103171
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1317409103920
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110510,"org.eclipse.equinox.p2.updatesite",1317409116466
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110511,"org.eclipse.equinox.p2.publisher.eclipse",1317409117087
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1317409117103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317409377972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317409399508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317409405889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317409407765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317409708579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428319302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428366444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1317428391479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428392483
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317428435881
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1317428436782
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1317428436863
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1317428436867
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1317428436879
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1317428436880
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1317428436890
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1317428438319
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1317428438319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428438913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428452230
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1317428452241
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317428454739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428461490
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1317428504415
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1317428505574
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1317428505588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428506647
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317428508984
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1317428509559
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317428511460
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1317428521514
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317428531224
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1317428539238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428595549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428604922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428611898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428617406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428621131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428621369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428628874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428631319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428632812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428771477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428771752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428774336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428778895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428813683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1317428813763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428815362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428817839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428819874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428822013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317428843251
